Accession,Organism_Name,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OP169339,Monkeypox virus,SRR20913439,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-08-08,MpxV/human/USA/OH-UW-076485/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197168,GenBank,complete,,,,USA: OH,USA,OH,Homo sapiens,,2022-07,SAMN30174636,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/OH-UW-076485/2022, complete genome"
OP169340,Monkeypox virus,SRR20913438,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-08-08,MpxV/human/USA/WA-UW-074224/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30174637,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-074224/2022, complete genome"
OP169341,Monkeypox virus,SRR20913437,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-08-08,MpxV/human/USA/WA-UW-074184/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197178,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30174638,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-074184/2022, complete genome"
OP169342,Monkeypox virus,SRR20913435,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-08-08,MpxV/human/USA/OH-UW-072752/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: OH,USA,OH,Homo sapiens,,2022-07,SAMN30174640,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/OH-UW-072752/2022, complete genome"
OP169344,Monkeypox virus,SRR20913433,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-08-08,MpxV/human/USA/WA-UW-071966/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197174,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30174642,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-071966/2022, complete genome"
OP169345,Monkeypox virus,SRR20913443,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-08-08,MpxV/human/USA/WA-UW-075687/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197174,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30174643,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-075687/2022, complete genome"
OP169346,Monkeypox virus,SRR20913442,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.L.","UW Virology, Laboratory Medicine",USA,2022-08-08,MpxV/human/USA/WA-UW-072839/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197178,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30174644,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-072839/2022, complete genome"
OP171919,Monkeypox virus,,"Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",USA,2022-08-08,MPXV22/human/USA-NE-25,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197182,GenBank,complete,,,,USA: Nebraska,USA,NE,Homo sapiens,,2022-06-25,SAMN30198513,,"Monkeypox virus isolate MPXV22/human/USA-NE-25, complete genome"
OP171920,Monkeypox virus,,"Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",USA,2022-08-08,MPXV22/human/USA-NE-31,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197182,GenBank,complete,,,,USA: Nebraska,USA,NE,Homo sapiens,,2022-07-04,SAMN30198514,,"Monkeypox virus isolate MPXV22/human/USA-NE-31, complete genome"
OP171921,Monkeypox virus,,"Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",USA,2022-08-08,MPXV22/human/USA-NE-43,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197182,GenBank,complete,,,,USA: Nebraska,USA,NE,Homo sapiens,,2022-07-14,SAMN30198515,,"Monkeypox virus isolate MPXV22/human/USA-NE-43, complete genome"
OP171924,Monkeypox virus,,"Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",USA,2022-08-08,MPXV22/human/USA-NE-63,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197199,GenBank,complete,,,,USA: Nebraska,USA,NE,Homo sapiens,,2022-07-25,SAMN30198518,,"Monkeypox virus isolate MPXV22/human/USA-NE-63, complete genome"
OP171925,Monkeypox virus,,"Tegomoh,B., Cross,S.T., Chapman,R.C., Bernhard,K., McCutchen,E.L., Fauver,J.R., Pratt,C.B., Warden,D.E., Iwen,P.C., Donahue,M., Wiley,M.R.","University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health",USA,2022-08-08,MPXV22/human/USA-NE-75,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197182,GenBank,complete,,,,USA: Nebraska,USA,NE,Homo sapiens,,2022-07-25,SAMN30198519,,"Monkeypox virus isolate MPXV22/human/USA-NE-75, complete genome"
OX261748,Monkeypox virus,ERR10019298,,"Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,2022-08-07,RNA,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197113,GenBank,complete,,,,Slovakia,Slovakia,,Homo sapiens,,2022-07-13,SAMEA110455081,PRJEB54914,"Monkeypox virus isolate RNA genome assembly, complete genome: monopartite"
OX261749,Monkeypox virus,ERR10019299,,"Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava",Slovakia,2022-08-07,RNA,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197101,GenBank,complete,,,,Slovakia,Slovakia,,Homo sapiens,,2022-07-20,SAMEA110455082,PRJEB54914,"Monkeypox virus isolate RNA genome assembly, complete genome: monopartite"
OP160532,Monkeypox virus,,"Tutu van Furth AM, van der Kuip M, van Els AL, Fievez LC, van Rijckevorsel GG, van den Ouden A, Jonges M, Welkers MR, Welkers,M., Jonges,M.","Amsterdam Medical Centres location AMC, Medical Microbiology & Infection Prevention",Netherlands,2022-08-05,hMpxV/Netherlands/NH-AUMC-0001/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197008,GenBank,complete,,,1,Netherlands,Netherlands,,Homo sapiens,,2022-06,,,"Monkeypox virus isolate hMpxV/Netherlands/NH-AUMC-0001/2022, complete genome"
OP150923,Monkeypox virus,SRR20715485,"Gigante,C., Ventura,J., Seabolt,M.H., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Li,Y.","CDC, DHCPP-PRB",USA,2022-08-04,MPXV_USA_2022_CA007,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197749,GenBank,complete,,,,USA: CA,USA,CA,Homo sapiens,,2022-06,SAMN30056154,PRJNA849962,"Monkeypox virus isolate MPXV_USA_2022_CA007, complete genome"
OP150924,Monkeypox virus,SRR20715409,"Gigante,C., Ventura,J., Seabolt,M.H., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Nash,J., Sheth,M., Li,Y.","CDC, DHCPP-PRB",USA,2022-08-04,MPXV_USA_2022_CA006,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197776,GenBank,complete,,,,USA: CA,USA,CA,Homo sapiens,,2022-06,SAMN30056102,PRJNA849962,"Monkeypox virus isolate MPXV_USA_2022_CA006, complete genome"
OP150925,Monkeypox virus,SRR20715516,"Gigante,C., Xia,D., Seabolt,M., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Plipat,N., Li,Y.","CDC, DHCPP-PRB",USA,2022-08-04,MPXV_USA_2022_GA001,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197762,GenBank,complete,,,,USA: GA,USA,GA,Homo sapiens,,2022-05,SAMN30056189,PRJNA849962,"Monkeypox virus isolate MPXV_USA_2022_GA001, complete genome"
OP150926,Monkeypox virus,SRR20715522,"Gigante,C., Goldoft,M., Seabolt,M., Zhao,H., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Holshue,M., Li,Y.","CDC, DHCPP-PRB",USA,2022-08-04,MPXV_USA_2022_PA001,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197692,GenBank,complete,,,,USA: PA,USA,PA,Homo sapiens,,2022-05,SAMN30056190,PRJNA849962,"Monkeypox virus isolate MPXV_USA_2022_PA001, complete genome"
OP133004,Monkeypox virus,,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",Austria,2022-08-03,hMPXV/Austria/MUW1533374/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197179,GenBank,complete,,,,Austria,Austria,,Homo sapiens,,2022-07-11,,,"Monkeypox virus isolate hMPXV/Austria/MUW1533374/2022, complete genome"
OP133005,Monkeypox virus,,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",Austria,2022-08-03,hMPXV/Austria/MUW1531848/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197182,GenBank,complete,,,,Austria,Austria,,Homo sapiens,,2022-07-05,,,"Monkeypox virus isolate hMPXV/Austria/MUW1531848/2022, complete genome"
OP133006,Monkeypox virus,,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",Austria,2022-08-03,hMPXV/Austria/MUW1532243/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197190,GenBank,complete,,,,Austria,Austria,,Homo sapiens,,2022-07-06,,,"Monkeypox virus isolate hMPXV/Austria/MUW1532243/2022, complete genome"
OP133007,Monkeypox virus,,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",Austria,2022-08-03,hMPXV/Austria/MUW1536480/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197202,GenBank,complete,,,,Austria,Austria,,Homo sapiens,,2022-07-22,,,"Monkeypox virus isolate hMPXV/Austria/MUW1536480/2022, complete genome"
OP123040,Monkeypox virus,SRR20731575,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/WA-UW-073974/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197174,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30081276,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-073974/2022, complete genome"
OP123042,Monkeypox virus,SRR20731573,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/WA-UW-077622/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30081278,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-077622/2022, complete genome"
OP123043,Monkeypox virus,SRR20731572,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/WA-UW-077836/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30081279,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-077836/2022, complete genome"
OP123044,Monkeypox virus,SRR20736996,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/WA-UW-071246/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30086702,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-071246/2022, complete genome"
OP123045,Monkeypox virus,SRR20736995,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/WA-UW-076225/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30086703,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-076225/2022, complete genome"
OP123046,Monkeypox virus,SRR20736992,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/WA-UW-078870/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197174,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30086704,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-078870/2022, complete genome"
OP123048,Monkeypox virus,SRR20736990,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/WA-UW-076861/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30086706,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-076861/2022, complete genome"
OP123049,Monkeypox virus,SRR20736989,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/WA-UW-073669/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN30086707,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-073669/2022, complete genome"
OP123051,Monkeypox virus,SRR20736987,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/OH-UW-070426/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: OH,USA,OH,Homo sapiens,,2022-07,SAMN30086709,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/OH-UW-070426/2022, complete genome"
OP123052,Monkeypox virus,SRR20736986,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/OH-UW-078654/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: OH,USA,OH,Homo sapiens,,2022-07,SAMN30086710,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/OH-UW-078654/2022, complete genome"
OP123053,Monkeypox virus,SRR20736985,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/OH-UW-071686/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: OH,USA,OH,Homo sapiens,,2022-07,SAMN30086711,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/OH-UW-071686/2022, complete genome"
OP123055,Monkeypox virus,SRR20736993,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-08-02,MpxV/human/USA/OH-UW-070822/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197180,GenBank,complete,,,,USA: OH,USA,OH,Homo sapiens,,2022-07,SAMN30086713,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/OH-UW-070822/2022, complete genome"
ON918611,Monkeypox virus,,"Chan,W.Y., Mtshali,S., Grobbelaar,A., Moolla,N., Mohale,T., Lowe,M., Du Plessis,M., Ismail,A., Weyer,J.","National Institute for Communicable Disease, Sequencing Core Facility",South Africa,2022-07-26,NICD-SVPL223,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197213,GenBank,complete,,,,South Africa,South Africa,,Homo sapiens,"skin, lesion",2022-06-20,,,"Monkeypox virus isolate NICD-SVPL223, complete genome"
OP055801,Monkeypox virus,SRR20653195,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-07-25,MpxV/human/USA/WA-UW-078327/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN29982908,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-078327/2022, complete genome"
OP055802,Monkeypox virus,SRR20653194,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-07-25,MpxV/human/USA/Unknown-UW-077794/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN29982909,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/Unknown-UW-077794/2022, complete genome"
OP055803,Monkeypox virus,SRR20653193,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-07-25,MpxV/human/USA/Unknown-UW-073599/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN29982910,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/Unknown-UW-073599/2022, complete genome"
OP055804,Monkeypox virus,SRR20653192,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-07-25,MpxV/human/USA/WA-UW-076724/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN29982911,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-076724/2022, complete genome"
OP055805,Monkeypox virus,SRR20653191,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-07-25,MpxV/human/USA/Unknown-UW-076991/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN29982912,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/Unknown-UW-076991/2022, complete genome"
OP055808,Monkeypox virus,SRR20653188,"Sereewit,J., Xie,H., Roychoudhury,P., Greninger,A.","UW Virology, Laboratory Medicine",USA,2022-07-25,MpxV/human/USA/WA-UW-075986/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197176,GenBank,complete,,,,USA: WA,USA,WA,Homo sapiens,,2022-07,SAMN29982915,PRJNA862948,"Monkeypox virus isolate MpxV/human/USA/WA-UW-075986/2022, complete genome"
OP012849,Monkeypox virus,,"Lin,J.-H., Chiu,S.-C., Huang,H.-I., Huang,W.-L., Fann,W.-B., Hsieh,P.-Y., Hsu,S.-C., Liu,P.-C., Chang,T.-Y., Yang,J.-Y.","Centers for Disease Control, Taiwan, Center of Diagnostics and Vaccine Development",Taiwan,2022-07-19,MPXV/human/Taiwan/110-364682/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197196,GenBank,complete,,,,Taiwan,Taiwan,,Homo sapiens,,2022-07,,,"Monkeypox virus isolate MPXV/human/Taiwan/110-364682/2022, complete genome"
OP018588,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-07-19,MPXV/Germany/2022/RKI169,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197140,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-07,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI169, complete genome"
OP018591,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-07-19,MPXV/Germany/2022/RKI183,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197139,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-07,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI183, complete genome"
OP018593,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-07-19,MPXV/Germany/2022/RKI167,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197140,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-07,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI167, complete genome"
OP018594,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-07-19,MPXV/Germany/2022/RKI168,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197140,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-07,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI168, complete genome"
OP018596,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-07-19,MPXV/Germany/2022/RKI171,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197140,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-07,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI171, complete genome"
OP018597,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-07-19,MPXV/Germany/2022/RKI172,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197139,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-07,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI172, complete genome"
OP018601,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-07-19,MPXV/Germany/2022/RKI176,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197141,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-07,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI176, complete genome"
OP018602,Monkeypox virus,,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",Germany,2022-07-19,MPXV/Germany/2022/RKI177,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197140,GenBank,complete,,,,Germany,Germany,,Homo sapiens,swab,2022-07,,,"Monkeypox virus isolate MPXV/Germany/2022/RKI177, complete genome"
OP019276,Monkeypox virus,,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",Austria,2022-07-19,hMPXV/Austria/MUW1527495/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,Austria,Austria,,Homo sapiens,,2022-06-21,,,"Monkeypox virus isolate hMPXV/Austria/MUW1527495/2022, complete genome"
OP019277,Monkeypox virus,,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",Austria,2022-07-19,hMPXV/Austria/MUW1531254/2022,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197193,GenBank,complete,,,,Austria,Austria,,Homo sapiens,,2022-07-04,,,"Monkeypox virus isolate hMPXV/Austria/MUW1531254/2022, complete genome"
ON983168,Monkeypox virus,,"Chmel,M., Pajer,P., Nagy,A., Zlamal,M., Jirincova,H., Dresler,J., Bartos,O.","Military Heatlh Institute, Military Heatlh Institute in Prague",Czech Republic,2022-07-14,MPxV/Prague_001/2022/flye_medaka,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,194916,GenBank,complete,,,,Czech Republic,Czech Republic,,Homo sapiens,,2022-04-28,,,"Monkeypox virus isolate MPxV/Prague_001/2022/flye_medaka, complete genome"
ON959131,Monkeypox virus,,"Gigante,C.M., Ghinai,I., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Kerins,J., Li,Y.","Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology",USA,2022-07-11,MPXV_USA_2022_IL001,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197742,GenBank,complete,,,,USA: IL,USA,IL,Homo sapiens,,2022-05,SAMN30616449,PRJNA849962,"Monkeypox virus isolate MPXV_USA_2022_IL001, complete genome"
ON959133,Monkeypox virus,,"Gigante,C.M., Hughes,S., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.","Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology",USA,2022-07-11,MPXV_USA_2022_NY002,Monkeypox virus,Orthopoxvirus,Poxviridae,dsDNA,197771,GenBank,complete,,,,USA: NY,USA,NY,Homo sapiens,,2022-05,SAMN30616451,PRJNA849962,"Monkeypox virus isolate MPXV_USA_2022_NY002, complete genome"
